NIF;clave;nomape;dirección;latitud;longitud;
67462104W;DIL3ITLSNL5y;Alene Inder;944 Calypso Junction;12,1941174;-1,8733017;
67318919N;Q6nk5S;Michal Pasfield;6 Old Shore Way;-25,8520478;25,6065929;
51948111I;ujPPPKt;Eleni Cabble;065 Hayes Court;49,8259726;21,9974055;
43947063M;QFgSdqQ6tG;Sebastien Antonetti;9469 Cascade Pass;49,7640069;5,8547896;
80591899Z;WjWyniDmIg;Audie Jex;7 School Hill;39,9346079;119,4508351;
03669055J;7LnFJaE6;Genny Poat;39127 Sauthoff Trail;50,3838631;25,7085224;
41962796K;oZ8w5lrzRT;Ed Lias;42929 Judy Avenue;-8,197451;112,6079459;
58544156P;2LRPHouI;Felix Yeowell;2784 Milwaukee Circle;15,809627;-90,290544;
21346140R;SCWJ9Mbrlc;Sascha Norwell;008 Hagan Lane;7,3850754;125,6632173;
34209945I;NR4wBXrX;Anthiathia Bysouth;9907 Blackbird Crossing;21,776254;111,221995;
86347639M;VOdbAE5P9U;Dill Jencey;45 Washington Alley;5,153793;-75,03631;
47272034Q;KM3pBujG8eZm;Ferdinanda Andras;5 Iowa Avenue;12,6679167;123,9881642;
74412636E;Po3dQgg3f;Cesaro Dunmuir;86 Knutson Way;40,99259;21,4208548;
70559804K;j1B66WGrwNw;Iolanthe Tant;0 Hudson Park;24,922044;118,223965;
63537809N;jbLMyR6l9g3;Christopher Rouke;75 Thackeray Place;52,7865762;52,2631971;
15313304T;w234hqzbq;Karilynn Starsmeare;5518 Orin Alley;49,8905368;2,3081396;
77971364M;lAwnnY;Robert Danser;4 Clarendon Point;24,874132;118,675675;
71979879R;2qy2CMxaO;Gaelan Somner;9 Alpine Place;17,8963357;101,6578336;
20184355Q;qqIYgFQ;Ephraim Yvon;882 Reinke Park;38,984289;118,498758;
22827377M;YeuzHko;Costa Labarre;55856 Eliot Alley;15,2081378;99,9688636;
03617327R;HWCy4Bjg4G;Royall Sewill;9 Sutherland Way;10,5570353;-85,68986;
22232005I;k2Yq0Uac;Lammond Trewinnard;0 Jay Drive;-21,6733002;-49,7471388;
22446396L;eKyxnHhIiQ3g;Patience MacTerrelly;29240 Manley Parkway;0,186066;30,4512086;
37438509C;U6HQKbk;Emanuel Grayne;47160 Pearson Park;48,8858655;2,3839746;
12862315U;EgPGPcyDQ;Creight Tampion;0 Delaware Hill;67,0610032;27,3157403;
06028289H;y29pM16n3q;Fancy Lidgertwood;74456 Killdeer Drive;3,9628564;101,866362;
24025243R;1VDCqSOhM7B;Tadeas Hadkins;2018 Trailsway Street;49,1169513;101,449837;
19446551O;TqrCo6;Karney Asplen;4448 Leroy Court;30,292001;71,6657348;
13563339E;EF8EVQOag;Winnifred Brauns;92573 Springview Avenue;-6,4301048;-78,720695;
22553916X;Mf2L8oq731;Rodge Foran;79 Boyd Court;33,6061462;-117,8912117;
47406310Y;HVLB9UMsPia;Bard Demann;16066 Messerschmidt Court;32,12214;35,17173;
64119669I;79DLgosj;Ranique Quinevan;989 Dixon Plaza;32,6786908;-97,3354531;
04214149U;VaTjKhs;Aurel Poveleye;1584 Coolidge Way;42,8494142;27,7900409;
05040449R;wfKopYJYg4Dg;Marietta Yoakley;893 Sage Parkway;54,13607;19,00874;
07832518R;Kb0XZXbx;Maryjo Gissop;9525 Crest Line Pass;45,925854;6,1250598;
97841605I;qzTCkoZa;Selie Paireman;2 Blaine Place;52,7440595;21,1228461;
70907676J;QywzgUMK4;Helena Streeter;85 Valley Edge Terrace;38,0208091;-7,8554287;
88603227C;Xk9c7XVj64M;Lilah Dearan;8438 Stang Park;3,9967196;97,3416152;
62538656M;3FY4Ai;Waylen Dugdale;314 Ruskin Point;33,1401715;119,7889248;
14813804B;5cwzDRBf8A;Kiele Simonson;7422 Jenna Junction;21,72342;108,452555;
25893814U;R6svFTgMZEa8;Tiffy Dauber;1030 Melby Circle;51,43341;-114,03528;
12833868J;aZ5bYLu7Ej39;Hammad Cottle;402 Burning Wood Crossing;31,887402;115,440283;
18721293N;QTaCGzxwnE;Keriann Camelli;824 Comanche Trail;13,928808;121,421617;
91896627E;GfjztAx;Janella L' Estrange;3928 Pawling Alley;50,5416315;13,7594816;
79784484W;kOMsVAFAse;Any Weston;33 Bonner Street;30,4752269;106,641749;
46341054V;KjR4bWq;Randell Shillum;8 Kim Plaza;7,81194;124,85444;
05849062S;XLcEzLo;Ephrem Stanmore;5758 Hanover Crossing;19,3174558;-99,1103392;
48752282T;sNuJUdgvz;Anderson Pergens;78 Sunbrook Alley;-22,0573092;-46,9774205;
37680002X;nNWj0wNK;Lisbeth Lauga;80 Waubesa Alley;-8,1879;111,4182;
73546191X;a7UBYSUa;Jud Josefson;5 Bayside Street;22,512308;110,079171;
12858236C;X9v5i7JJbZfE;Kylie Vittore;0 Becker Junction;11,1506898;108,4869555;
52908298B;3cNPaOXXV4OX;Courtnay Malatalant;3714 Corscot Circle;40,9279942;19,9481973;
83279776S;3pIxdjmv644;Tabitha Lake;9998 Pond Circle;49,9579835;20,8378422;
38719316N;oImhgRu;Harvey Jencey;88413 Mcbride Parkway;35,7797381;-80,7087609;
28944063I;p1h6h4CqHD5u;Shandee Pillinger;42799 Twin Pines Pass;32,035776;35,038365;
44831769C;LttuoTKAV8;Raddy Deschelle;5428 Mifflin Street;-24,5969718;25,9124229;
03642489B;kwgt13TJ0mJ;Lezlie Bianco;80 Superior Street;7,0228416;121,9195586;
44858040C;3AGt83pqA;Petunia Bolletti;30226 Maryland Crossing;43,258497;117,54141;
33055092Z;UxpX3WTz0;Maddy Dennes;279 Dawn Way;40,2974812;-8,1955122;
10996212A;rnVjyaGnk;Rowe Bottjer;3 Manufacturers Parkway;-36,23975;-61,121304;
23857748L;iwzVQ27qD6pH;Trix Bleasdille;71 Hooker Alley;26,7647964;31,4982868;
09798721C;7jYvj8hcog34;Bethina McCrudden;5792 1st Road;-22,5961542;-42,9611571;
63952594J;wiJON6Ao4L;Hetti Meneely;473 Lakewood Gardens Point;-30,5652911;17,9904127;
00250106L;vyI7fXjz;Westbrook Brazear;3269 Northwestern Crossing;59,3289759;18,0651149;
93626377J;wq6rh7oxmi;Fawn Coupe;728 Lindbergh Pass;13,5722578;-15,6002024;
56350870S;emhLvobEjW2;Bell Burriss;72 Sage Place;47,6593594;-52,7383086;
00919540Q;QacZTKnT3;Amye Letts;681 Raven Circle;60,3588201;22,2240066;
81800667F;7gY4w9;Nola Meah;3731 Barby Place;24,191374;97,801697;
33277099J;4RQAaI;Jess Barefoot;41592 Onsgard Court;13,6954096;100,5127381;
62051129V;CtoNlfyfIcvd;Josefa Eannetta;204 Summit Trail;29,985295;122,207215;
31825795N;oC8abV;Amabelle Chooter;9974 Spaight Parkway;37,8594105;126,8893666;
22473738S;d1MLT2xrBLT;Obie Kirsop;769 Karstens Terrace;14,2926501;-89,8991742;
64893216S;SBQcsFPqy;Esma Bierman;8 Nancy Street;30,741991;121,341969;
14041008S;TPKyO00Lc;Theodora Baigent;45 Northport Circle;-9,8625;119,8963;
65701319N;yK2z3Z5GPhR6;Simonne Mitton;48042 Buell Drive;29,402608;110,443991;
96705297R;w9sMJOsJx;Persis Denniss;791 Hoepker Plaza;49,6285187;94,3896275;
85258224P;UALQzPmz;Christabel Poyner;96 Mosinee Parkway;36,8466981;-76,2900032;
00615015K;MHZ91Ue;Carolyn Seeley;0 Ridgeway Alley;13,5192458;-87,6001222;
15723164Q;6oG8BANOZO;Neal Diviney;9894 Eagan Parkway;8,721124;5,7563151;
13692347X;TRPBL24s9zdI;Kenon Saggs;2 Muir Junction;39,242504;77,73699;
18962914S;nQD8iFm;Hendrik Dogerty;05209 Del Mar Plaza;28,563927;108,50387;
76362282M;sLciInEWrShX;Taryn Canto;98 Erie Parkway;23,436592;115,836219;
46789661D;mgTMLaQUdN0;Orelle Jerzak;4 Farragut Circle;28,679282;121,435569;
36246528F;2dLVpFn;Etti de Guise;1 Glacier Hill Road;41,0919871;-7,8038268;
60186918Y;rnswF1r7;Clemmie Ive;741 Oxford Court;15,0319912;-91,7358506;
86745432U;nPM9KYNsLY1;Meredith Pawelczyk;8953 Pond Junction;-7,0240255;-76,1327924;
03395542L;fm3wu0cBgtj;Kiah Brockelsby;15618 Dexter Parkway;29,718419;104,585735;
51230321G;YsPcZ7JR;Brooks Dysert;7 Granby Street;22,362731;113,552698;
62987609M;fjvO34Vd;Werner Heatley;447 Stephen Terrace;-10,95;39,28333;
23202533S;koAEwNqcT;Sid Garfit;716 Blackbird Terrace;23,028301;115,84573;
32301038D;I2QGDvBWs;Almire Vowdon;06 North Junction;50,051293;19,372452;
92973166M;OSQTX7sEF;Francesco Lillecrap;017 Barby Trail;-37,002374;175,848229;
03732130U;LVUjYI;Marillin Sabban;53 Oriole Junction;15,6338588;103,3421371;
08182724I;2XleUgPYYd1;Godwin Adamo;278 Shasta Avenue;26,444341;115,699778;
20572874Q;btQmP1Zrna;Gay Wormald;64464 Dakota Avenue;59,3851719;17,9172006;
75487484H;yeDuCeBafDtI;Palmer Wallace;2 Burning Wood Plaza;39,3297421;-8,3745717;
31259052V;Q2ccrDZrqc6;Faythe Cammiemile;5 Badeau Pass;-14,0691337;-70,4281661;
22848909F;VJCXrNm9CK3;Faye Zealey;6 Village Green Alley;37,9885749;23,7965135;
39816375W;c8X8dsds;Roberta Libby;520 Mayfield Alley;44,5652451;17,5341531;
56378287C;wZ19npg;Bambi Twopenny;06 Shasta Street;31,12678;104,167501;
03517494M;BdO2di8idFL;Lora Hughlock;41 Cody Junction;-32,9285798;-60,6923382;
75198746Q;0dpSl7ptU2u;Freeland Planque;3 Arizona Lane;43,499458;16,5426001;
15129520L;tFMADev;Kathy Stidson;3966 Harper Center;-4,0180556;133,4608333;
92144055Z;RQ09uz38cmV;Regine Phillpotts;2 Division Street;30,920219;103,620536;
73383239D;EJIrXlg6;Ursola Philler;2 Anthes Trail;36,3276673;138,8951009;
40464844K;YgaRnyvioO;Eugene Benfield;8777 Sheridan Place;32,6821287;35,8024545;
47705041G;Z2QefiGMn;Cassandry Abramchik;278 David Park;22,9838485;-82,5483422;
97439566R;CjjXlR7N;Karon Joesbury;5230 Crowley Center;59,0405545;52,3557986;
26206310G;B4QjesK;Carri Shovelin;7 Cherokee Plaza;32,096344;118,909159;
23513284A;OAo61EG3hR;Benn Beslier;36 Warner Lane;40,5270236;71,8334145;
09281633N;HRjk4mi;Barclay Tarling;577 Union Way;42,7015624;25,8960346;
59322037B;aFrJZP;Georgy Clubb;62 Summer Ridge Plaza;26,641315;100,222545;
03421094B;CVuepYa8aqf;Jabez Bearham;5882 Starling Center;14,75;-88,533333;
33985487L;BOkSWSMDXNT9;Eden Challender;5 Kenwood Center;30,8337059;35,6160558;
92738713S;N1k26q8mjUs;Joan Wortman;28 Birchwood Terrace;17,6992092;121,5038757;
79686199Y;43BKiXFhI5op;Jeramey Gobeau;11 Parkside Plaza;55,6760366;12,5657728;
63129207H;b2apxEgOfhQb;Rosana Karby;139 Meadow Vale Point;-7,6534546;110,8046283;
62816910S;uGpZlyRhA;Sheena Helian;990 Elka Circle;40,6236334;-8,503294;
21575424C;zbYeGYq;Milka Blakden;64798 Milwaukee Point;-22,8456877;-45,2302005;
02404944J;chvxNaAA;Theodor Bortol;999 Emmet Junction;32,318255;109,715304;
00294168V;VIcegjK7;Rori Archanbault;28 Fairview Lane;50,2036798;19,0197207;
63043451E;RfbMecHLPZm;Daphne Finby;0 Orin Center;42,7282811;-84,5511177;
77763999N;HzmxXu;Jeramey Lintott;55 Milwaukee Drive;31,5259995;49,8905718;
65198485R;Jl6kEE7qRRru;Meyer Bewley;59052 Everett Court;-35,3714074;174,0890941;
33530852U;AcWfg5fNP2kT;Ardelia Anstiss;80551 Lakeland Pass;47,2952721;39,8734276;
21669572E;41LLrxypaB6;Merrill Pleager;8 Golf View Terrace;42,1090506;48,1941426;
42168834Z;dLs1qgFy2PA;Sylvester Radnedge;4 Thierer Pass;-23,5893189;-46,0107997;
08569747B;ZskeN7c;Audrye Schutte;2904 East Parkway;50,1535057;19,8118896;
65909477D;e8ZH60CaohzY;Lexy Joreau;511 Merrick Hill;-7,0609;113,7136;
83550006S;ne98PIh;Bird Tomalin;95875 Doe Crossing Parkway;42,5317628;72,2304571;
84565551U;VA3iswe1hHV;Sarita Goligly;72 Hollow Ridge Avenue;53,366736;-6,313755;
83932487X;RxCo0sLjJQPF;Evie Keigher;22954 Weeping Birch Place;29,956858;107,209965;
76772377G;MrbUnGcGEExR;Garwin Powers;63947 Reindahl Trail;49,4575108;18,2598032;
95764732K;InfRMmHqD;Daphene Curtis;03467 Fair Oaks Avenue;14,6688068;121,1138058;
93319978Z;iml4x5WuleO;Rachele Broy;93 Lotheville Trail;52,7401064;15,2665222;
68681402Y;N0PBmyQxDHW;Rutter Verry;0 Lyons Plaza;10,274447;125,257432;
77941357N;Rz88CdVBc7;Heinrik McGraith;9468 Talmadge Road;13,748419;-89,8452348;
58757113E;yaGSrz6;Koo Coughlin;6 Gale Junction;40,784068;122,1039229;
07559431H;3L0e40;Jasun Tarr;0424 Goodland Center;-7,2914614;112,6109257;
04377232C;Q8Vrncnf;Yancy Londsdale;4 Bunker Hill Lane;34,542308;118,752842;
95449945D;3RwvKIe;Jonell McCloy;1073 Stone Corner Point;24,4670098;118,0855763;
70270980I;veUIih4;Ag Marcos;2 Namekagon Trail;26,106815;34,2743587;
24242105C;DNvYhmaVM6s0;Erin Pacitti;5 Warbler Crossing;29,097342;91,847388;
32502676I;jpvQuBgv8;Ealasaid Trenam;970 Westend Lane;14,6874444;120,9638841;
58743115V;4SAMKcOhM;Perri Trotter;0 Little Fleur Center;40,8762849;49,0273549;
51110261L;ZbaJXLAX6;Lyda Palle;6673 Marquette Avenue;2,1883402;-76,2131474;
08942156Q;T4pGtrZhblX;Jill Swalwel;1013 Warner Street;44,9158731;-0,2363562;
34153115V;XgCYMK;Vidovik Turney;0 Bultman Drive;14,7172639;121,0413488;
70452283V;xg804XF;Carlen Plester;5 Granby Pass;14,6087807;121,0334173;
31933644L;3Otm3hVuGKc2;Nicoli Jardein;57206 Bartillon Point;60,54595;16,2841;
13414024Z;hQVOUizL0;Lisha Clemenson;16 Arapahoe Circle;6,961969;-75,4190689;
40290998I;QIkWhnC;Morey Ransome;5 Norway Maple Hill;10,7613138;123,3719862;
18342945O;BSZWJIlmA;Talbert Guyer;168 Reindahl Circle;40,6230031;19,4690444;
40900506W;WABahHSPIgC;Fernande Franceschelli;24 Troy Crossing;10,0566953;-65,0394139;
67270165B;i2EKCSoQ0WzH;Dorie Birwhistle;66832 Vernon Plaza;52,3612714;4,8827921;
08306470H;8fD8TQNLhBQO;Ree Mulvin;7 Roth Crossing;26,0549565;32,1619136;
74462940D;kza5g3r7Cfsg;Herrick Aphale;051 Center Terrace;51,57429;17,67392;
71967460X;2SmbVvU;Lorrayne McVity;601 Harper Hill;51,35249;21,12877;
99545752B;BdP7BqeV;Madelyn Wilbud;7218 Florence Junction;19,27898;-99,1653351;
20688213R;NSqdUhJo;Toby O'Noulane;83 Hermina Trail;37,9904219;23,6583002;
65022057U;icKd5j;Aylmar Fullagar;6029 Rowland Pass;-19,8730077;47,0291162;
28827208O;oWELHWfpPd;Quintin Rootham;10129 Carberry Plaza;32,8892572;119,6430298;
87917464F;2edNukDOBx;Batsheva Larmor;183 Kipling Pass;25,4039407;60,3732653;
38995859V;xihs3MQr9;Amalle Roback;753 Novick Lane;31,459682;110,11101;
26571927B;7i2Nnm40xs4;Rudyard Baignard;4797 Independence Plaza;60,3767999;93,0249306;
41987437E;TZ5uhY;Alie Whittenbury;739 Riverside Plaza;59,3796798;28,1791333;
40979213I;SxrX95;Kristina Mitroshinov;52 North Park;52,4609077;13,4815474;
85363451H;FHeePm8cMoz;Perkin Kittless;17 Grayhawk Street;-3,7901775;114,7380385;
19824553F;gPo23IWd78L;Peg Lorimer;84 Red Cloud Road;29,895386;106,570188;
90742725X;JDhlneCm;Corie Sopp;120 Melby Circle;14,5560877;121,0155081;
71224531R;pcHupEG;Erena Follos;4 Lindbergh Street;39,7794767;-86,1700894;
95645359H;Oat6ctIGMjMe;Regan Cowdry;0 Di Loreto Parkway;35,863652;71,789345;
89722718K;e2FEXZo;Sidonnie Luten;13932 Burrows Way;29,584292;111,380014;
66144629M;nCirNrVNYT;Amy Tarquinio;32 Shelley Plaza;22,3750399;-72,962112;
94179202P;sncVBi2TKUKo;Cecelia Sjollema;155 Shasta Trail;39,0729188;22,5513331;
24216835Y;iB6LKQPo;Mollie Hutt;1 Claremont Terrace;24,246246;114,029079;
25454102P;hT2AoN5d;Muriel Bissell;66556 Veith Road;-34,9284989;138,6007456;
79070806M;X0bReu;Briano Voss;867 Bay Court;50,8525432;21,384343;
66450839C;tXUFErgf4dw;Christos Bullock;89 Burning Wood Plaza;44,202131;38,8907294;
59922178W;M5eQQbM;Joshua Kivelhan;3 Main Junction;23,528427;116,399409;
00372531J;zfLJyFyknAi;Marquita Lefeaver;14 Blackbird Terrace;-10,0776;120,7569;
76256270Q;QyZdynJmDeb3;Juan Jenno;48762 Stephen Court;12,405227;121,990643;
61823820S;ThLgDcaE8C;Melanie Cashley;37930 Debra Center;28,97844;117,151796;
46840694W;OLISEAk;Camellia Tomaino;13 Valley Edge Avenue;39,9163551;-7,4489531;
57536464Z;YiR7DYdB;Gisella Gentile;6416 Debra Pass;-6,9888872;106,9535691;
95387156X;f9GA5O;Annabelle Hutton;3868 Grasskamp Plaza;14,868392;-91,619388;
87359282S;M0Eaf3d;Olive Saphir;7 Maple Wood Hill;-29,4075749;-66,8349174;
86511909W;uz6XKxa4e;Heath Exell;8724 Veith Park;14,6324372;120,993155;
03872361O;KJmbqoX7N2q;Emory Castard;212 Lerdahl Center;30,71509;31,56241;
56057847C;TfO69oFVo;Gerek Base;426 Arizona Way;34,1985119;-118,4980744;
10296010F;q1Kyn5;Miles Setchell;0955 Stoughton Alley;40,6918277;20,9424673;
37892518T;NuctmuuaB;Cointon Gidney;7763 Del Mar Circle;31,52057;34,97442;
23544979N;lEUajyWnLdD;Georgie Sibery;1750 2nd Parkway;40,6086938;140,4880538;
01820924Y;DMd5BZk8QS;Lorain Gland;601 Fair Oaks Terrace;40,842356;111,749995;
99825127F;VdKRgFo0If;Felizio Corroyer;66842 Donald Point;41,0490009;39,513623;
31191144Z;xXKqfBFp2P;Gaston Lobb;63610 Melrose Drive;14,5421715;-91,4130682;
15352592P;DNA0qHSV7oz;Karalynn Bellis;92579 Union Road;43,7883496;4,9548261;
97016405M;HqWtd94y;Shirlee Geldert;01 Hoepker Way;36,3384589;25,4333251;
98705893C;KlXHq7Hh;Andrew Childe;9188 Chinook Terrace;31,236215;121,477445;
36203688G;x73OEc;Had Birrane;7752 Lawn Point;41,3298054;44,2073125;
56222435F;1bLtgIyuyVKV;Waldo Yeo;260 Anzinger Point;3,205886;101,5957199;
46147328E;qnKegRD;Nap Roser;870 Delaware Drive;-8,1149145;115,0916254;
54297429D;a9o74hSN;Rosalie Gamon;21 Spenser Drive;29,718419;104,585735;
77534436N;l7WEI6dznOs;Gwen Winspurr;912 Golf View Parkway;46,388909;14,1071599;
76691520R;tgKfTqdaDb5;Cordelie Bromige;43681 Valley Edge Road;21,4906113;-77,6049218;
46694850V;22ojV1xlc04;Lotty Hurdiss;68610 Southridge Drive;-18,3591857;-44,6254642;
34333827E;o0QlT9;Georas Knibb;33872 Northfield Circle;-6,9415153;-78,1350635;
86205637X;rsKgE13hisk;Leola Brugemann;202 Reinke Hill;-6,5211331;106,8502879;
57719664Q;nnvmYl6GE;Abbey Bolden;30 Blaine Parkway;-51,7308935;-72,4977407;
25153990L;LoqZbtiff;Theodora Mattevi;56920 Trailsway Center;22,5674949;58,6858709;
35296632S;Eqlro2UQqu;Brandise Medendorp;2 Forest Run Road;14,335889;-89,713497;
75005285C;cHLmzhskCZ;Giavani Sheber;95 East Lane;56,4815673;84,8815961;
62809791I;3qtStAZWBhn;Patience Pitkeathley;70 Bluejay Court;28,524376;113,233807;
74599771S;Xr1UiReY4yOu;Marlene Rosedale;7248 Burning Wood Court;-11,8887963;-75,2865498;
35744655D;UEoaL07kd;Leontine Gosnold;3 Michigan Point;37,7574326;-25,2384711;
88359573A;AA0ZrQzizx;Stirling Dudlestone;799 Golden Leaf Place;59,3015113;17,9981495;
27105711V;rtwMcZCEV0;Hilario Micah;29 School Place;-17,9659326;-49,6503106;
07217002R;DyZzt0UF;Fredi Krause;867 Lillian Park;58,402302;24,6553157;
59103287X;fHmkCqH;Alaric Ducker;57 Pond Place;6,6753696;124,5444219;
52381448Z;mFpzMRx;Gregorius Bronger;030 Comanche Park;49,6297207;37,6810464;
60519509X;BHwFccRh;Layne Jefferson;4413 Dottie Park;31,31913;34,34005;
10023813D;OWjOVfv7id;Elicia Lindgren;1 Forest Center;-22,7712817;-47,156739;
66138189U;VjYgTTYbx;Felicio MacClay;276 6th Way;7,9980992;-72,63877;
77085894D;3Kq8vWlDU;Issi Hancke;1867 Kim Terrace;1,4190683;103,652859;
12927358P;r9On0WNFx;Feodor Cochrane;07 Comanche Center;22,276022;114,1751471;
46363999M;5dnK5D60td9;Pail Kohnen;4730 Birchwood Parkway;52,0108;86,5467;
18209972O;8uYswSe73S5K;Janis Muddiman;1 Bluestem Way;15,3749395;-86,6850292;
52424313B;9SNAjp76;Leonanie Graybeal;3 Dexter Alley;38,7263653;-9,2359767;
43029787L;OQOZnD54;Shelton Brisker;57 Paget Circle;40,5341079;70,9309024;
77832514K;SBAuxTgUU;Phaidra Sancias;57662 Crowley Terrace;41,1872522;-8,434873;
77704288Q;3wjn9OvHe;Gilda Gerald;29480 Carioca Point;-10,05;-76,166667;
44002462N;qvSGen7oE;Joshuah Diehn;18 Warbler Terrace;32,19828;119,47016;
22105391F;1BQjhBeTS;Neda Muldrew;90 Southridge Center;-7,4417327;111,1056539;
22731255B;ZEI5rKMn;Griffy Edginton;4003 Mosinee Center;37,8833564;23,9333037;
06441527X;hBojpGxxk;Neille Lafayette;193 Shelley Junction;-7,2269461;12,8687414;
76669808T;M0FfGzQxl;Aretha Fosdike;71 Kingsford Circle;48,8270848;2,5111543;
29165886S;yunTXftNuoi;Marsha Corsor;37567 Elmside Park;58,0935206;27,4104797;
98347464A;YmDD2jFmkYa;Aurelea Scougal;799 Dawn Avenue;41,746429;22,199654;
08664037S;Szit7tHTduuo;Amabel Casari;08490 Charing Cross Avenue;-6,377185;37,3747104;
49277189F;HiM5Io4yil;Judd Topham;01 Corry Trail;35,8561719;129,2247477;
03194333N;WjziVdhHe5yS;Cesare Ingliby;1 Center Hill;55985;22,91889;
53278662L;cuF4skwwG5I;Yelena Pechet;45429 Forest Run Plaza;45,2235244;20,0319685;
94363602E;uEu19nKUbnr5;Red Cabera;67937 Donald Point;-34,5244257;-56,3908165;
69631861R;uCOgY4ACg;Wilmer Stronge;6 Rutledge Avenue;26,0882134;119,3010346;
52784551B;tazHF6S;Sammy Rutter;67116 Dexter Parkway;42,3569364;24,1115593;
12720276O;TEw80IcRb2;Jammie Clooney;3 Cascade Crossing;29,761159;105,931414;
01497175C;kFgieSAcpDAc;Chickie Caffin;1022 Sunbrook Way;37,8956594;114,9042208;
59511235S;B9iSOc1F;Leontyne Caskey;408 Londonderry Terrace;-6,6913793;111,0892601;
23336467O;RwoZGD;Zelma Webb-Bowen;1570 Autumn Leaf Court;55,8547803;47,4687165;
69825800M;0OCClQQ2h;Elaine Angrock;2018 Green Ridge Hill;31,896059;35,254768;
57617612R;Mqyl2B;Flossi Yushin;769 Vernon Drive;61,7284389;24,800314;
53092096G;x2ouCgZUN;Dalston Whitlam;99501 Mayer Center;-30,7456924;-58,0135415;
62076663P;QF2tpUVq;Tish Iorillo;024 Meadow Ridge Place;-8,613782;125,2052299;
38386159T;1hamy7xs;Aldridge Hillaby;8457 Autumn Leaf Point;14,5665991;121,0022623;
97936185C;9Tt2wbGaAf0Y;Brendon Benardeau;26982 Green Trail;38,3628307;-0,5210565;
03410991E;wgcgRH;Ingelbert Elles;33578 Sloan Point;8,909013;-75,9579358;
67401182I;W51itXg;Enoch Bernollet;39 Bayside Circle;60,910493;-46,04349;
79569396V;WdyyFs;Kathy Skamell;13386 Milwaukee Road;23,020673;113,751799;
04202575P;BUtEKuLdpi;Bryant Willarton;511 Cody Plaza;14,632526;121103;
53804564Q;qB2SokBd;Mattheus Breen;7 Donald Terrace;-8,1916;123,7529;
39796508N;UJijtOX;Gigi Giacoboni;0819 Brown Avenue;-26,2396883;28,3217259;
92212532H;5AvJFk7ISiE3;Earl Sancias;68 Northview Way;9,5844123;-11,5589105;
19957307Y;4JFuK7;Carroll Restieaux;3 Jay Parkway;5,329576;103,1369108;
